,0
Adana-1,10
Adıyaman-2,"13,2"
Afyonkarahisar-3,"9,1"
Ağrı-4,"14,2"
Aksaray-68,"8,2"
Amasya-5,"8,6"
Ankara-6,"6,9"
Antalya-7,"7,9"
Ardahan-75,"10,7"
Artvin-8,"5,5"
Aydın-9,"7,9"
Balıkesir-10,"6,6"
Bartın-74,"9,8"
Batman-72,"12,5"
Bayburt-69,"6,6"
Bilecik-11,"7,8"
Bingöl-12,"18,4"
Bitlis-13,"12,4"
Bolu-14,"6,9"
Burdur-15,"9,2"
Bursa-16,"8,5"
Çanakkale-17,"6,3"
Çankırı-18,"12,6"
Çorum-19,"6,9"
Denizli-20,"9,2"
Diyarbakır-21,"10,7"
Düzce-81,10
Edirne-22,"6,6"
Elazığ-23,"12,3"
Erzincan-24,"6,8"
Erzurum-25,"12,5"
Eskişehir-26,"8,7"
Gaziantep-27,"14,1"
Giresun-28,"6,5"
Gümüşhane-29,"5,7"
Hakkari-30,"15,2"
Hatay-31,"11,1"
Iğdır-76,"10,9"
Isparta-32,"9,7"
İstanbul-34,"8,1"
İzmir-35,"7,2"
Kahramanmaraş-46,"12,2"
Karabük-78,"5,5"
Karaman-70,"8,6"
Kars-36,"12,7"
Kastamonu-37,"6,3"
Kayseri-38,"8,6"
Kilis-79,"13,3"
Kırıkkale-71,"12,5"
Kırklareli-39,"6,1"
Kırşehir-40,"6,6"
Kocaeli-41,"7,3"
Konya-42,"9,5"
Kütahya-43,"10,3"
Malatya-44,"10,8"
Manisa-45,"11,4"
Mardin-47,"13,5"
Mersin-33,"9,5"
Muğla-48,"9,2"
Muş-49,15
Nevşehir-50,"6,1"
Niğde-51,"9,1"
Ordu-52,"7,7"
Osmaniye-80,"12,6"
Rize-53,"8,9"
Sakarya-54,"7,9"
Samsun-55,"7,6"
Şanlıurfa-63,"17,9"
Siirt-56,"13,9"
Sinop-57,"8,5"
Şırnak-73,"16,1"
Sivas-58,"9,1"
Tekirdağ-59,"6,7"
Tokat-60,"10,7"
Trabzon-61,"6,9"
Tunceli-62,"3,1"
Uşak-64,8
Van-65,"13,9"
Yalova-77,7
Yozgat-66,"8,4"
Zonguldak-67,"10,1"
